id,name,images,sub-subcategory,final order,repetition type,geometry,represents,modifier (from name),limited to craft,notes,fundamentality,super-supercategory,supercategory,subcategory,original manual order,alternate name,alternate name 2,alternate name 3,alternate name 4
109,plum backside / 向こう梅 / むこううめ / mukō ume,109.png (https://dl.airtable.com/jsW5gZhXSgCu7phGHJtO_109.png),088 - hana - variants,243,5-radial symmetry,"aspect - all curvy-edged,aspect - ring in center position,merged petals","flower,plant",,,,variant,02 - shape,05 - cyclical,21 - ray,94,,,,
110,plum pot / 梅鉢 / うめばち / ume bachi,"110a.png (https://dl.airtable.com/1wfCTnNbSVOH39fDKtva_110a.png),110b.png (https://dl.airtable.com/TTechxqlTDOvtd2wka5a_110b.png),110.png (https://dl.airtable.com/WnhF3qhITCi0R3NepMGC_110.png)",088 - hana - variants,244,5-radial symmetry,"aspect - ring in center position,basic element - 1 - ring / circle / dot","flower,pot,plant",,,,complex compound,02 - shape,05 - cyclical,21 - ray,97,,,,
471,separated arabesque flower / 離れ唐花 / はなれからはな / hanare kara hana,471.png (https://dl.airtable.com/KyPsNTzsTuyhXHqE4xaA_471.png),088 - hana - variants,245,5-radial symmetry,"bumpy petal,three humps,warped petal,aspect - ring in center position,basic element - 1 - ring / circle / dot,dash / sword from center into petal","plant,flower",arabesque / Tang,,,basic building block,02 - shape,05 - cyclical,21 - ray,109,,,,
474,arabesque pear / 唐梨 / からなし / kara nashi,474.png (https://dl.airtable.com/NDu0WmTxS66kuaEaSKbQ_474.png),088 - hana - variants,246,4-radial symmetry,dash / sword from center into petal,"plant,pear",arabesque / Tang,,,basic building block,02 - shape,05 - cyclical,21 - ray,119,,,,
472,arabesque pear flower / 唐梨ノ花 / からなしのはな / kara nashi no hana,"472b.png (https://dl.airtable.com/2MtjTVdrQlONOhwDXOTw_472b.png),472.png (https://dl.airtable.com/JRNVPsKHQr2ib7c4TjjL_472.png)",088 - hana - variants,247,6-radial symmetry,"bumpy petal,three humps,warped petal,merged petals","pear,flower,plant",arabesque / Tang,,,basic building block,02 - shape,05 - cyclical,21 - ray,117,,,,
473,transfigured arabesque pear flower / 変わり唐梨ノ花 / かわりからなしのはな / kawari kara nashi no hana,473.png (https://dl.airtable.com/yp96ZdNpRv8q3cpC2V3I_473.png),088 - hana - variants,248,6-radial symmetry,"pointed petal,warped petal,merged petals","plant,flower,pear","arabesque / Tang,transfigured",,,basic building block,02 - shape,05 - cyclical,21 - ray,118,,,,
478,cherry blossom well cherry blossom / 桜井桜 / さくらいさくら / sakura i sakura,478.png (https://dl.airtable.com/O5cTv0k1R1rkltACaD5L_478.png),088 - hana - variants,249,5-radial symmetry,"pointed petal,aspect - ring in center position,basic element - 1 - ring / circle / dot,aspect - subtraction / inversion","flower,plant,cherry blossom,well",,,,variant,02 - shape,05 - cyclical,21 - ray,110,,,,
282,snow ring / 雪輪 / ゆきわ / yuki wa,282.png (https://dl.airtable.com/lzD8bl8uTKm89ubG9HHT_282.png),089 - yuki,250,6-radial symmetry,"basic element - 1 - ring / circle / dot,element - blob,aspect - indented","water,ice / snow",,,,basic building block,02 - shape,05 - cyclical,21 - ray,220,,,,
480,first snow / 初雪 / はつゆき / hatsu yuki,480.png (https://dl.airtable.com/rIMijtmGQzqSgONFNy74_480.png),089 - yuki,251,6-radial symmetry,"warped petal,aspect - all curvy-edged","water,ice / snow",,,,variant,02 - shape,05 - cyclical,21 - ray,221,,,,
481,spring snow / 春ノ雪 / はるのゆき / haru no yuki,481.png (https://dl.airtable.com/J689ktbIRs2NRV5XXN3W_481.png),089 - yuki,252,6-radial symmetry,"aspect - ring in center position,warped petal,aspect - all curvy-edged","water,ice / snow",,,,variant,02 - shape,05 - cyclical,21 - ray,222,,,,
482,icicle snow / 氷柱雪 / つららゆき / tsurara yuki,482.png (https://dl.airtable.com/88nax0dvQ32dRQP7bx5P_482.png),089 - yuki,253,6-radial symmetry,"aspect - ring in center position,basic element - 1 - ring / circle / dot,linked by spokes,basic element - 2 - bar / dash,basic element - 6 - hexagon","water,ice / snow",,,,variant,02 - shape,05 - cyclical,21 - ray,223,,,,
476,hemp leaf / 麻ノ葉 / あさのは / asa no ha,476.png (https://dl.airtable.com/EYm89YbRUG5xO7hz8fd6_476.png),090 - asa,254,6-radial symmetry,"basic element - 4 - rhombus,basic element - 3 - triangle,element - star - general","plant,hemp",,,,basic building block,02 - shape,05 - cyclical,21 - ray,250,,,,
479,hemp leaf bellflower / 麻ノ葉桔梗 / あさのはききょう / asa no ha kikyō,479.png (https://dl.airtable.com/7oDXjPRCDx510JmKqQhR_479.png),091 - asa kawari,255,5-radial symmetry,"aspect - ring in center position,basic element - 1 - ring / circle / dot,basic element - 4 - rhombus,basic element - 3 - triangle","plant,hemp,flower,bellflower",,,,complex compound,02 - shape,05 - cyclical,21 - ray,252,,,,
477,hemp leaf wheel / 麻ノ葉車 / あさのはぐるま / asa no ha guruma,477.png (https://dl.airtable.com/IPvxvUjsSeyRxbop8fMo_477.png),091 - asa kawari,256,6-radial symmetry,"basic element - 4 - rhombus,basic element - 3 - triangle,element - star - general","plant,hemp,wheel",,,,variant,02 - shape,05 - cyclical,21 - ray,251,,,,
270,three rhombuses / 三菱 / みつびし / mitsu bishi,270.png (https://dl.airtable.com/of7fGVrCTnCBSWbPRksl_270.png),092 - mitsu,257,3-radial symmetry,"basic element - 3 - triangle,basic element - 4 - rhombus,aspect - all straight-edged",,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,236,,,,
71,seven united scales / 持合七つ鱗 / もちあいななつうろこ / mochiai nanatsu uroko,71.png (https://dl.airtable.com/sdlGYMeLREe4fShQaXuf_71.png),092 - mitsu,258,3-radial symmetry,"basic element - 3 - triangle,aspect - all straight-edged","scale,animal epidermis",linked,,,complex compound,02 - shape,05 - cyclical,21 - ray,248,seven linked scales / 七つ繋ぎ鱗 / ななつつなぎうろこ / nanatsu tsunagi uroko,,,
408,three mountains / 三つ山 / みつやま / mitsu yama,408.png (https://dl.airtable.com/s3cqGs5xR1WuEv9tc2AF_408.png),092 - mitsu,259,3-radial symmetry,"element - arc / annular sector,basic element - 1 - ring / circle / dot,basically three pie slices",mountain,gathered,,,complex compound,02 - shape,05 - cyclical,21 - ray,86,three gathered mountains / 三つ寄せ山 / みつよせやま / mitsu yose yama,,,
409,three sand mounds / 三つ立砂 / みつたてずな / mitsu tate zuna / three rising sand,409.png (https://dl.airtable.com/KHQB3Nx9SL2jtpxhgXzD_409.png),092 - mitsu,260,3-radial symmetry,"element - teardrop,basic element - 1 - ring / circle / dot,basically three pie slices",,,,,variant,02 - shape,05 - cyclical,21 - ray,87,,,,
423,hexagon of three-story rhombuses / 六角三階菱 / ろっかくさんかいびし / rokkaku sankai bishi,423.png (https://dl.airtable.com/eScuE2I6RO66666xsMpu_423.png),092 - mitsu,261,3-radial symmetry,"hexagon broken into three rhombii,element - jagged rhombus,basic element - 4 - rhombus,aspect - all straight-edged,zig-zag,basic element - 6 - hexagon",,,,,complex compound,02 - shape,05 - cyclical,21 - ray,235,three three-story rhombuses with tops together / 頭合せ三つ三階菱 / かしらあわせみつさんかいびし / kashira awase mitsu sankai bishi,three three-story rhombuses / 三つ三階菱 / みつさんかいびし / mitsu sankai bishi,,
404,three gathered copper counterweights / 三つ寄せ分銅 / みつよせふんどう / mitsu yose fundō,404.png (https://dl.airtable.com/Y1ExMOmDQ0ybEaGcQtD5_404.png),092 - mitsu,262,3-radial symmetry,"aspect - implied shape,element - fundo,aspect - empty / outline,basic element - 1 - ring / circle / dot,aspect - subtraction / inversion,aspect - overlapping circles",copper counterweight,gathered,,,complex compound,02 - shape,05 - cyclical,21 - ray,147,,,,
403,three braided copper counterweights / 三つ組み分銅 / みつくみふんどう / mitsu kumi fundō,403.png (https://dl.airtable.com/Zdm9LpZxTcyoW40hXn4j_403.png),092 - mitsu,263,3-radial symmetry,"element - fundo,basic element - 1 - ring / circle / dot,aspect - subtraction / inversion,aspect - empty / outline,aspect - overlapping circles",copper counterweight,braided,,,complex compound,02 - shape,05 - cyclical,21 - ray,148,,,,
420,"three Japanese characters for ""big"" / 三つ大ノ字 / みつだいのじ / mitsu dai no ji",420.png (https://dl.airtable.com/Gi8pU4dgQcSVEPAINxQX_420.png),092 - mitsu,264,3-radial symmetry,"basic element - 1 - ring / circle / dot,element - crescent / horn,element - arc / annular sector,element - 2 - lens,aspect - overlapping circles",character,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,183,,,,
450,kettle stand / 五徳 / ごとく / gotoku,450.png (https://dl.airtable.com/qEIiivyaTCK7MCHn9Ezx_450.png),092 - mitsu,265,3-radial symmetry,"aspect - all curvy-edged,basic element - 1 - ring / circle / dot,element - arc / annular sector,bent wire with curly ends",kettle,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,85,,,,
446,Akagi scale / 赤垣鱗 / あかぎうろこ / akagi uroko,446.png (https://dl.airtable.com/L30XlP13QUaYL2qTPccV_446.png),092 - mitsu,266,3-radial symmetry,"basic element - 3 - triangle,basic element - 1 - ring / circle / dot","scale,animal epidermis",,,,complex compound,02 - shape,05 - cyclical,21 - ray,249,,,,
449,seven treasures / 七宝 / しっぽう / shippō,449.png (https://dl.airtable.com/oZ3y46k8QN9WGl03KWL0_449.png),093 - shippo,267,4-radial symmetry,"basic element - 1 - ring / circle / dot,element - warped square,element - star - warped,aspect - overlapping circles,element - 2 - lens",treasure / money,,,,basic building block,02 - shape,05 - cyclical,21 - ray,237,armor cracks / 甲地割 / こうじわり / kōji wari,,,
33,Ōoka seven treasures / 大岡七宝 / おおおかしっぽう / ōoka shippō,33.png (https://dl.airtable.com/aJoIDOYcRB2CnkwGp5W5_33.png),094 - shippo kawari,268,4-radial symmetry,"basic element - 1 - ring / circle / dot,element - 2 - lens,basic element - 3 - triangle,element - star - general,element - warped square,aspect - overlapping circles,element - arc / annular sector,aspect - empty / outline",treasure / money,,,,complex compound,02 - shape,05 - cyclical,21 - ray,238,,,,
444,skein four-eyes / 桛四つ目 / かせよつめ / kase yotsume,444.png (https://dl.airtable.com/QCmegk3FRSmUfnPIqeE4_444.png),095 - ray misc,269,4-lateral symmetry,"basic element - 4 - square,element - chevron",spool / reel,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,54,,,,
399,windmill / 風車 / ふうしゃ / fūsha,399.png (https://dl.airtable.com/znmurQSAQMimmi1CbYOf_399.png),095 - ray misc,270,8-radial symmetry,"basic element - 4 - square,element - star - general,polyelement - ring of squares,element - star - lakshmi,aspect - empty / outline",,,,,complex compound,02 - shape,05 - cyclical,21 - ray,139,,,,
293,"""murako"" dyeing style / 村濃 / むらこ / murako",293.png (https://dl.airtable.com/fAdVpVtSzS7Vs9IVMbu1_293.png),095 - ray misc,271,4-lateral symmetry,"element - star - cross,basic element - 8 - octagon,basic element - 1 - ring / circle / dot,aspect - empty / outline,basic element - 3 - triangle",,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,53,,,,
345,staggered ring quince / 輪違い木瓜 / わちがいもっこ / wa chigai mokko,345.png (https://dl.airtable.com/vBetAkYJQ0waxDhIgSSi_345.png),095 - ray misc,272,2-lateral symmetry,"element - 2 - lens,basic element - 4 - rhombus,element - fundo,element - jagged rhombus,polyelement - ring of rings,aspect - empty / outline,polyelement - linked rings","ring,gourd,plant",staggered,,,variant,02 - shape,05 - cyclical,21 - ray,176,,,,
91,thread spool / 糸巻 / いとま / itoma,91.png (https://dl.airtable.com/LEDjszrQTq2eolEHZjjY_91.png),096 - juji,273,4-radial symmetry,"aspect - all curvy-edged,element - star - cross,element - star - general,element - warped square,element - star - warped",spool / reel,,,,basic building block,02 - shape,05 - cyclical,21 - ray,19,warped square / 反り角 / そりかく / sori kaku,,,
94,staggered cut bamboo / 違い切竹 / ちがいきりたけ / chigai karitake,94.png (https://dl.airtable.com/OZ1PrUzRTpmmTuQBwk1o_94.png),096 - juji,274,4-radial symmetry,"element - star - cross,aspect - all straight-edged,aspect - indented",bamboo,staggered,,,complex compound,02 - shape,05 - cyclical,21 - ray,31,cut bamboo cross / 切竹十字 / きりたけじゅうじ / kiri take jūji,cut bamboo cross / 切竹久留子 / きりたけくるす / kiri take kurusu,,
7,wooden skein / 桛木 / かせぎ / kasegi,7.png (https://dl.airtable.com/LYvHI5AZTrqsdh4NZaFA_7.png),096 - juji,275,4-radial symmetry,"aspect - all straight-edged,element - star - cross,polyelement - ring of crosses",spool / reel,,,,one-off / other,02 - shape,05 - cyclical,21 - ray,18,wooden skein cross / 桛木久留子 / かせぎくるす / kasegi kurusu,,,
359,square cross / 角形久留子/ かくがたくるす / kakugata kurusu,359.png (https://dl.airtable.com/CHeO0uAxSwS3rap65eGL_359.png),096 - juji,276,4-radial symmetry,"element - star - cross,aspect - all straight-edged,polyelement - ring of crosses",,,,,complex compound,02 - shape,05 - cyclical,21 - ray,17,,,,
95,six directions tortoise shell / 六方亀甲 / ろっぽうきっこう / roppō kikkō,95.png (https://dl.airtable.com/SeXXJY1FSsKvEDDZQLPN_95.png),096 - juji,277,6-radial symmetry,"element - star - cross,element - star - asterisk,aspect - all straight-edged,aspect - empty / outline,aspect - indented","tortoise shell,animal epidermis",,,,one-off / other,02 - shape,05 - cyclical,21 - ray,35,,,,
115,"""tomoe"" / 巴 / ともえ / tomoe","115.png (https://dl.airtable.com/Bzint9UpQe64Clb2b8Tw_115.png),115b.png (https://dl.airtable.com/AqNqAqOQNebIP0zHuJeA_115b.png),115c.png (https://dl.airtable.com/EOhLzHKHQMKSNgxPmiz3_115c.png)",097 - tomoe,278,varying radial symmetry,"aspect - all curvy-edged,element - swastika / pinwheel / spiral",,,,,basic building block,02 - shape,05 - cyclical,22 - helix,132,"""tomoe"" / 鞆絵 / ともえ / tomoe",,,
114,"inverse ""tomoe"" / 抜け巴 / ぬけともえ / nuke tomoe",114.png (https://dl.airtable.com/Mqmf8w0Sam4T6mqaZS7Q_114.png),098 - tomoe kawari,279,3-radial symmetry,"aspect - subtraction / inversion,aspect - all curvy-edged,element - swastika / pinwheel / spiral",,,,,variant,02 - shape,05 - cyclical,22 - helix,131,,,,
116,"""magatama"" ""tomoe"" / 勾玉巴 / まがたま / magatama tomoe",116.png (https://dl.airtable.com/A0VbwCVgQR6BGDLUGVCa_116.png),098 - tomoe kawari,280,2-radial symmetry,aspect - all curvy-edged,yin yang,,,,complex compound,02 - shape,05 - cyclical,22 - helix,133,,,,
421,split deltas chasing each other / 割り追い洲浜 / わりおいすはま / wari oi suhama,421.png (https://dl.airtable.com/6i37uAfERSO81eHXWQgv_421.png),098 - tomoe kawari,281,2-radial symmetry,"element - swastika / pinwheel / spiral,basic element - 1 - ring / circle / dot",delta,split,,,one-off / other,02 - shape,05 - cyclical,22 - helix,212,,,,
445,"kickball ""tomoe"" / 鞠巴 / まりともえ / mari tomoe",445.png (https://dl.airtable.com/WBWCBqkTWGQlzD0d4GmH_445.png),098 - tomoe kawari,282,3-radial symmetry,aspect - all curvy-edged,,,,,variant,02 - shape,05 - cyclical,22 - helix,134,"transfigured ""tomoe"" / 変わり巴 / かわりともえ / kawari tomoe",,,
343,#-count staggered rings / 何つ輪違い / なんつわちがい / nantsu wa chigai,"343c.png (https://dl.airtable.com/6oLay3TI6UOhtJ2RgxHX_343c.png),343.png (https://dl.airtable.com/ziLnrWqaS0WjDrn7z3N9_343.png),343b.png (https://dl.airtable.com/xMLTWmOdQaqmxXedEUL8_343b.png)",099 - wa chigai,283,varying radial symmetry,"basic element - 1 - ring / circle / dot,aspect - over - under,polyelement - ring of rings,aspect - overlapping circles,element - 2 - lens,aspect - empty / outline,polyelement - linked rings",ring,staggered,,,basic building block,02 - shape,05 - cyclical,22 - helix,165,,,,
339,woven bamboo kettle trivet / 籠目釜敷 / かごめがましき / kagome gamashiki,339.png (https://dl.airtable.com/ahK6Pz52QdaxLYDav3JE_339.png),100 - wa chigai kawari,284,7-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - over - under,polyelement - ring of rings,aspect - overlapping circles,element - 2 - lens,aspect - empty / outline,polyelement - linked rings","kettle,bamboo,plant",,,,variant,02 - shape,05 - cyclical,22 - helix,164,,,,
113,kettle trivet Navagraha / 釜敷九曜 / かましきこよう / kamashiki koyō,113.png (https://dl.airtable.com/VixJnHcxS32rIPUoFEMt_113.png),100 - wa chigai kawari,285,8-radial symmetry,"basic element - 1 - ring / circle / dot,polyelement - line through rings / dots,polyelement - linked rings,polyelement - ring of rings,aspect - overlapping circles,element - 2 - lens,aspect - ring in center position,element - star - warped,element - star - general","kettle,heavenly body",,,,variant,02 - shape,05 - cyclical,22 - helix,173,,,,
355,door lock / 鎖金 / とじがね / tojigane / chain money,355.png (https://dl.airtable.com/6bb15z7Qv2yDKWnOtCRw_355.png),100 - wa chigai kawari,286,4-radial symmetry,"element - ellipse,polyelement - cross of variable-width-shape,aspect - over - under,cluster of four,aspect - empty / outline,polyelement - linked rings",,,,,one-off / other,02 - shape,05 - cyclical,22 - helix,189,,,,
354,braided rhombus outline / 陰組み菱 / かげくみびし / kage kumi bishi,354.png (https://dl.airtable.com/IwqU9aRSS3CZ9XFVg4Y5_354.png),100 - wa chigai kawari,287,4-radial symmetry,"basic element - 4 - rhombus,element - star - cross,polyelement - cross of variable-width-shape,basic element - 8 - octagon,aspect - over - under,cluster of four,aspect - empty / outline",,"braided,knotted",,,complex compound,02 - shape,05 - cyclical,22 - helix,188,knotted rhombus outline / 陰結び菱 / かげむすびびし / kage musubi bishi,,,
26,treasure knot / 宝結び / たからむすび / takara musubi,26.png (https://dl.airtable.com/7duMHUBRSiK9QaK4Fc9w_26.png),101 - musubi standards,288,2-radial symmetry,"basic element - 4 - rhombus,aspect - over - under,element - jagged rhombus,curved line,element - teardrop","knot,treasure / money",,,,basic building block,02 - shape,05 - cyclical,22 - helix,184,,,,
447,flower vine treasure knot / 華蔓宝結び / はなつるたからむすび / hana tsuru takara musubi,447.png (https://dl.airtable.com/Ge5FokLQ1uyZ0yxV0nZA_447.png),101 - musubi standards,289,2-radial symmetry,"basic element - 4 - square,element - teardrop,element - hourglass,aspect - over - under,aspect - overlapping circles,united bridle bit shape","knot,treasure / money,flower,vine",,,,basic building block,02 - shape,05 - cyclical,22 - helix,185,,,,
342,knotted oak / 結び柏 / むすびかしわ / musubi kashiwa,342.png (https://dl.airtable.com/lzuzNViSrmstjG5hewlA_342.png),101 - musubi standards,290,3-radial symmetry,"aspect - over - under,single line woven into itself,element - bishamon,element - 2 - lens,element - arc / annular sector,element - 3 - Reuleaux triangle,aspect - empty / outline",plant,knotted,,,variant,02 - shape,05 - cyclical,22 - helix,166,,,,
346,staggered knotted rings / 結び輪違い / むすびわちがい / musubi wa chigai,346.png (https://dl.airtable.com/171w9ddQSwWG37RQoKdw_346.png),102 - musubi uncommons,291,4-radial symmetry,"single line woven into itself,element - star - cross,element - teardrop,polyelement - cross of variable-width-shape,aspect - empty / outline",ring,"knotted,staggered",,,one-off / other,02 - shape,05 - cyclical,22 - helix,177,,,,
348,broken staggered rings / 輪違い崩し / わちがいくずし / wa chigai kuzushi,348.png (https://dl.airtable.com/xqY2nScUTSGZmOglPNMP_348.png),102 - musubi uncommons,292,4-radial symmetry,"basic element - 1 - ring / circle / dot,single line woven into itself,aspect - over - under,element - 2 - lens,polyelement - cross of variable-width-shape,element - star - cross,element - hash / lattice,element - curvy hash,aspect - empty / outline",ring,"broken,staggered",,,one-off / other,02 - shape,05 - cyclical,22 - helix,179,,,,
350,six broken golden rings / 六つ金輪崩し / むつかなわくずし / mutsu kanawa kuzushi,350.png (https://dl.airtable.com/IwqvGRrxTbWW7ATOvqXO_350.png),102 - musubi uncommons,293,6-radial symmetry,"basic element - 1 - ring / circle / dot,element - 2 - lens,basic element - 6 - hexagon,single line woven into itself,element - star - asterisk,element - star - warped,element - star - general,aspect - empty / outline",ring,"broken,split",,,one-off / other,02 - shape,05 - cyclical,22 - helix,180,six split broken golden rings / 六つ割り金輪崩し / むつわりかなわくずし / mutsu wari kanawa kuzushi,,,
338,transfigured bellflower kettle trivet / 変わり桔梗釜敷 / かわりききょうがましき / kawari kikyō gamashiki,338.png (https://dl.airtable.com/nrffgypdQu2oCHBQqr52_338.png),102 - musubi uncommons,294,5-radial symmetry,"aspect - over - under,single line woven into itself,element - arc / annular sector,element - star - general,element - star - warped,aspect - empty / outline","plant,flower,bellflower,kettle",transfigured,,,variant,02 - shape,05 - cyclical,22 - helix,169,,,,
340,knotted kettle trivet / 結び釜敷 / むすびがましき / musubi gamashiki,340.png (https://dl.airtable.com/VKek7lJPTlGsJexvWkff_340.png),102 - musubi uncommons,295,6-radial symmetry,"single line woven into itself,aspect - over - under,element - teardrop,aspect - empty / outline",kettle,knotted,,,one-off / other,02 - shape,05 - cyclical,22 - helix,171,,,,
360,three united knotted oaks / 三つ持ち合い結び柏 / みつもちあいむすびかしわ / mitsu mochiai musubi kashiwa,360.png (https://dl.airtable.com/JhnEdlHFTeELqKXAX326_360.png),102 - musubi uncommons,296,3-radial symmetry,"aspect - over - under,single line woven into itself,element - 2 - lens,element - arc / annular sector,element - 3 - Reuleaux triangle,aspect - empty / outline",plant,,,,complex compound,02 - shape,05 - cyclical,22 - helix,167,,,,
357,"braided x-mark in a circle, drawn in one stroke / 一筆書き丸に組み直違 / ひとふでがきまるにくみすじかい / hitofudegaki maru ni kumi sujikai",357.png (https://dl.airtable.com/8yfaAMj8TVL2YheWzX8Q_357.png),102 - musubi uncommons,297,4-radial symmetry,"basic element - 1 - ring / circle / dot,element - star - cross,aspect - over - under,single line woven into itself,element - arc / annular sector,cluster of four",,braided,,,one-off / other,02 - shape,05 - cyclical,22 - helix,190,,,,
101,knotted four rhombus-eyes / 結び四つ目菱 / むすびよつめびし / musubi yotsu mebishi,101.png (https://dl.airtable.com/NKjjnNquSsSZP4FNimXw_101.png),102 - musubi uncommons,298,4-radial symmetry,"basic element - 4 - rhombus,aspect - empty / outline,aspect - all straight-edged,aspect - over - under,cluster of four,single line woven into itself,element - swastika / pinwheel / spiral,polyelement - ring of squares",eye,knotted,,,variant,02 - shape,05 - cyclical,22 - helix,168,,,,
99,knotted tortoise shell / 結び亀甲 / むすびきっこう / musubikikkō,99.png (https://dl.airtable.com/sls3XpNQ1e6AXq4rUahS_99.png),102 - musubi uncommons,299,6-radial symmetry,"element - star - asterisk,aspect - all straight-edged,aspect - over - under,single line woven into itself,element - star - general,aspect - empty / outline","tortoise shell,animal epidermis",knotted,,,one-off / other,02 - shape,05 - cyclical,22 - helix,170,,,,
363,eight braided squares / 八つ組角 / やつくみかく / yatsu kumi kaku,363.png (https://dl.airtable.com/y7oCct28TFCxNFOQaI0b_363.png),102 - musubi uncommons,300,4-radial symmetry,"aspect - over - under,basic element - 4 - square,single line woven into itself,basic element - 4 - kite,element - arrow,element - star - general,element - star - lakshmi,polyelement - ring of squares",,braided,,,one-off / other,02 - shape,05 - cyclical,22 - helix,152,,,,
364,knotted square / 結び角 / むすびかく/ musubi kaku,364.png (https://dl.airtable.com/ammrpdFuRSqWhEQJUQnp_364.png),102 - musubi uncommons,301,4-radial symmetry,"aspect - over - under,basic element - 4 - square,element - star - cross,aspect - empty / outline",,,,,one-off / other,02 - shape,05 - cyclical,22 - helix,153,,,,
177,broken swastika / 万字崩し / まんじくずし / manji kuzushi,"177b.png (https://dl.airtable.com/28XzRNHgRFCNyVXE8FAd_177b.png),177.png (https://dl.airtable.com/ewtzpbHWQjq7FvzUa6hb_177.png)",103 - manji,302,4-radial symmetry,"aspect - all straight-edged,basic element - 4 - square,element - swastika / pinwheel / spiral",,broken,,,variant,02 - shape,05 - cyclical,22 - helix,202,,,,
229,four linked swastikas / 四つ万字繋ぎ / よつまんじつなぎ / yotsu manji tsunagi,229.png (https://dl.airtable.com/E5lLwNs5Rzipxrhx1duB_229.png),103 - manji,303,4-radial symmetry,"element - swastika / pinwheel / spiral,element - star - cross,aspect - all straight-edged,cluster of four,aspect - empty / outline,polyelement - ring of squares",,linked,,,complex compound,02 - shape,05 - cyclical,22 - helix,204,four united swastikas / 四つ持ち合い万字 / よつもちあいまんじ / yotsu mochiai manji,four broken swastikas / 四つ万字崩し / よつまんじくずし / yotsu manji kuzushi,,
318,broken lightning bolt / 稲妻崩し / いなずみくずし / inazumi kuzushi,318.png (https://dl.airtable.com/D1PXXPTQeqbMATDwlKjQ_318.png),103 - manji,304,4-radial symmetry,"element - swastika / pinwheel / spiral,basic element - 4 - square,aspect - all straight-edged,cluster of four",lightning,broken,,,one-off / other,02 - shape,05 - cyclical,22 - helix,205,,,,
226,"Japanese character for ""i"" rhombus / イ菱 / いびし / i bishi",226.png (https://dl.airtable.com/b03m1L0SQrO2AbEVXiD8_226.png),103 - manji,305,4-radial symmetry,"element - swastika / pinwheel / spiral,aspect - all straight-edged,basic element - 4 - rhombus,cluster of four",character,,,,complex compound,02 - shape,05 - cyclical,22 - helix,203,"Japanese character for ""i"" rhombus / イノ字菱 / いのじびし / i no ji bishi",,,
398,four stone wheel / 四つ石車 / よついしぐるま / yotsu ishi guruma,398.png (https://dl.airtable.com/DDtAUxQH2LLcTjrHYUXA_398.png),103 - manji,306,4-radial symmetry,"basic element - 4 - square,element - star - cross,element - swastika / pinwheel / spiral,aspect - over - under,polyelement - ring of squares","wheel,stone",layered,,,complex compound,02 - shape,05 - cyclical,22 - helix,138,layered stones / 重ね石 / かさねいし / kasane ishi,,,
414,four gathered drums / 四つ寄せ立鼓 / よつよせりゅうご / yotsu yose ryūgo,414.png (https://dl.airtable.com/tE51IMZsREepqcPbvzFH_414.png),103 - manji,307,4-radial symmetry,"basic element - 6 - hexagon,aspect - all straight-edged,element - hourglass,aspect - implied shape,element - swastika / pinwheel / spiral",drum,gathered,,,complex compound,02 - shape,05 - cyclical,22 - helix,28,,,,
368,swastika circle / 万字丸 / まんじまる / manji maru,368.png (https://dl.airtable.com/ffhR5qLR4unBY17GcXgt_368.png),104 - manji enkei,308,4-radial symmetry,"element - swastika / pinwheel / spiral,basic element - 1 - ring / circle / dot",,,,,variant,02 - shape,05 - cyclical,22 - helix,211,,,,
370,twisted swastika / 捻万字 / ぬじまんじ / nuji manji,"370.png (https://dl.airtable.com/iJK2uOzQbKYf6BtqV1yX_370.png),370b.png (https://dl.airtable.com/ayFLtUchRq6dA7115TiZ_370b.png)",104 - manji enkei,309,4-radial symmetry,"element - swastika / pinwheel / spiral,basic element - 1 - ring / circle / dot",,,,,variant,02 - shape,05 - cyclical,22 - helix,209,,,,
369,twisted swastika rhombus / 捻じ万字菱 / ねじまんじびし / neji manji bishi,369.png (https://dl.airtable.com/4apshYMRjmCktLeoEUkY_369.png),104 - manji enkei,310,4-radial symmetry,"element - swastika / pinwheel / spiral,basic element - 1 - ring / circle / dot,basic element - 4 - rhombus,cluster of four,aspect - empty / outline,element - arc / annular sector,polyelement - ring of rings",,,,,complex compound,02 - shape,05 - cyclical,22 - helix,210,,,,
371,horn swastika / 角万字 / つのまんじ / tsuno manji,371.png (https://dl.airtable.com/ePJxH4puTZy2hyV0HCvg_371.png),104 - manji enkei,311,4-radial symmetry,"element - swastika / pinwheel / spiral,cluster of four",,,,,one-off / other,02 - shape,05 - cyclical,22 - helix,208,,,,
323,braided x-mark / 組み直違 / くみすじかい / kumi sujikai,323.png (https://dl.airtable.com/gZJ2hW5XQ7aGsgXhYFlt_323.png),105 - kumi,312,2-radial symmetry,"basic element - 2 - bar / dash,aspect - over - under,element - tall flat x,aspect - all straight-edged,aspect - empty / outline",,braided,,,complex compound,02 - shape,05 - cyclical,22 - helix,195,braided x-mark / 組み筋違 / くみすじかい / kumi suji kai,,,
