id,name,images,sub-subcategory,final order,repetition type,geometry,represents,modifier (from name),limited to craft,notes,fundamentality,super-supercategory,supercategory,subcategory,original manual order,alternate name,alternate name 2,alternate name 3,alternate name 4
262,wheel of Genji / 源氏車 / げんじぐるま / genji guruma,"262b.png (https://dl.airtable.com/MnHQx4LYSq2ReDttEsO7_262b.png),262c.png (https://dl.airtable.com/4PD0QJTmQHil4fI2nDut_262c.png),262.png (https://dl.airtable.com/GWpJVu0TZiAODIU1jJEF_262.png)",080 - maru kage,198,varying radial symmetry,"basic element - 1 - ring / circle / dot,element - arc / annular sector,aspect - empty / outline","wheel,Genji",,,,basic building block,02 - shape,05 - cyclical,20 - concentric,215,,,,
419,zig-zag ring / 雁木輪 / がんぎわ / gangi wa,419.png (https://dl.airtable.com/9OAvZ2tRJeUTUKNhWSZi_419.png),080 - maru kage,199,10-radial symmetry,"basic element - 1 - ring / circle / dot,zig-zag,element - star - general","ring,mountain",,,"Literal translation is ""goose tree ring"". The ""goose tree"" part seems to refer to the zig-zag shape of flocking geese; I am unable to discern what ""tree"" has to do with it. It also refers to a traditional style of dock consisting of stairs down into the water.",one-off / other,02 - shape,05 - cyclical,20 - concentric,219,,,,
28,"""dango"" / 団子 / だんご / dango","28c.png (https://dl.airtable.com/BTE1DlTTgi17ZLMOwubl_28c.png),28b.png (https://dl.airtable.com/s3vWCANgQY2ELGU6DqPE_28b.png)",080 - maru kage,200,total radial symmetry,"basic element - 1 - ring / circle / dot,curved line,aspect - empty / outline,polyelement - line through rings / dots",food,,,,one-off / other,02 - shape,05 - cyclical,20 - concentric,240,,,,
407,delta ring / 洲浜輪 / すはまわ / suhama wa,407.png (https://dl.airtable.com/LWpVouViS1au9urEfG36_407.png),080 - maru kage,201,3-radial symmetry,"aspect - indented,aspect - empty / outline,basic element - 1 - ring / circle / dot","delta,ring",,,,variant,02 - shape,05 - cyclical,20 - concentric,84,,,,
30,"""enso"" / 円相 / えんそう / ensо̄",30.png (https://dl.airtable.com/03L3Lj0gTiGM8Arv77zt_30.png),081 - concentric misc,202,total radial symmetry,"basic element - 1 - ring / circle / dot,aspect - paint stroke texture,aspect - empty / outline",infinity,,,,one-off / other,02 - shape,05 - cyclical,20 - concentric,243,,,,
334,sea fingers / 海松 / みる / miru,334.png (https://dl.airtable.com/GWhaFVEDQOi9nZQ7jT9U_334.png),081 - concentric misc,203,none / asymmetrical,"basic element - 1 - ring / circle / dot,element - blob",plant,,,,one-off / other,02 - shape,05 - cyclical,20 - concentric,247,,,,
429,Hioki cross / 日置十文字 / ひおきじゅうもんじ / hioki jūmonji,429.png (https://dl.airtable.com/DuCCmTujTKWEkXH0wmj9_429.png),081 - concentric misc,204,4-radial symmetry,"polyelement - ring of crosses,basic element - 1 - ring / circle / dot,basic element - 2 - bar / dash,aspect - implied shape,basic element - 4 - square,element - arc / annular sector,element - star - cross",,,,,one-off / other,02 - shape,05 - cyclical,20 - concentric,192,,,,
112,inverse Navagraha / 抜け九曜 / ぬけこよう / nuke koyо̄,112.png (https://dl.airtable.com/HeZLidUyTiSFZIduz8Li_112.png),082 - jinuki,205,8-radial symmetry,"aspect - subtraction / inversion,aspect - all curvy-edged,element - star - general,basic element - 1 - ring / circle / dot,aspect - ring in center position,element - star - warped,aspect - empty / outline",heavenly body,,,,variant,02 - shape,05 - cyclical,20 - concentric,127,,,,
35,kickball holder / 鞠挟 / まりはさみ / marihasami,35.png (https://dl.airtable.com/Nru7lVdnQhupPjg2l6vw_35.png),082 - jinuki,206,6-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - subtraction / inversion,aspect - all curvy-edged,element - star - general,aspect - ring in center position,element - star - warped,aspect - empty / outline","ball,holder,container",,,,one-off / other,02 - shape,05 - cyclical,20 - concentric,128,,,,
106,plum ring / 梅輪 / うめわ / ume wa,106.png (https://dl.airtable.com/Bp4dUXf9SnqPXwLVaIva_106.png),082 - jinuki,207,5-radial symmetry,"basic element - 1 - ring / circle / dot,aspect - all curvy-edged,aspect - ring in center position,aspect - empty / outline","flower,ring,plant",,,,variant,02 - shape,05 - cyclical,20 - concentric,95,,,,
